id,name,language,description,watchers,pull_requests,commits,members,issues,bucket,include
29905327,https://api.github.com/repos/moderntribe/event-tickets,PHP,Standalone Tickets Framework,38,1160,7628,1,1182,big,
16523213,https://api.github.com/repos/WordImpress/Give,PHP,Democratizing Generosity - The best way to accept donations on WordPress,187,1625,8666,1,3666,big,
3230576,https://api.github.com/repos/pressbooks/pressbooks,PHP,Pressbooks – the CMS for books,253,877,5542,5,1610,big,
75139013,https://api.github.com/repos/RectorPHP/Rector,PHP,AST based PHP refactoring of Nette or Symfony application to most recent versions,1277,860,8444,2,1452,big,x
4747,https://api.github.com/repos/SimpleMachines/SMF2.1,PHP,"Thoughts, Ideas and bits of code for SMF (2.1)",403,3453,5353,11,5697,big,
174642,https://api.github.com/repos/Sylius/Sylius,PHP,eCommerce PHP framework built on top of Symfony with component-based architecture and format-agnostic rendering. (HTML/JSON/XML),5328,6332,14735,7,10235,big,x
3452,https://api.github.com/repos/LimeSurvey/LimeSurvey,PHP,The most popular FOSS online survey tool on the web.,1242,1269,18724,30,1290,big,
12183949,https://api.github.com/repos/woothemes/storefront,PHP,,283,97,961,36,459,popular,
1165,https://api.github.com/repos/concrete5/concrete5,PHP,Official repository for concrete5 development,1235,5051,13734,27,7453,popular,
80421,https://api.github.com/repos/liip/LiipImagineBundle,PHP,Symfony Bundle to assist in imagine manipulation using the imagine library,1132,541,743,60,1200,popular,x
3182,https://api.github.com/repos/cartalyst/sentry,PHP,[DEPRECATED] A framework agnostic authentication & authorization system.,1931,178,608,482,548,popular,
6965976,https://api.github.com/repos/Automattic/jetpack,PHP,"Your WordPress, streamlined.",1111,6795,49999,166,12112,popular,
37434686,https://api.github.com/repos/Submitty/Submitty,PHP,A suite of UX and autograding changes to the homework server used at RPI.,167,1885,14492,25,3477,popular,
4221,https://api.github.com/repos/symfony-cmf/cmf-sandbox,PHP,Base project for trying CMF components integration,431,237,1499,39,414,popular,x
